,Book 书名,Count 数量,Expected,ISBN,Cost,Feature,Remark

早教认知书-----------------------,,,,,,,

发音书-----------------------,,,195（193）,,,,
,Are you my Mommy,81,82,9.78155E+12,8,眼睛会动发音,
,Careful Bee,75,76,9.78155E+12,8,眼睛会动发音,
,"Up,up and Away",34,37,9.78155E+12,8,眼睛会动发音,
,Silly Puppy,3,,9.78155E+12,8,,

眼睛会动书----------------------,,,100（89）,,,,
,I am just a fish（眼睛书）,84,,9.78185E+12,8,,
,I am just a crab,2,,9.78185E+12,8,,
,I am just a bird,2,,9.78185E+12,8,,
,I am just a Frog,1,,9.78185E+12,8,,

海绵小开本认知套书----------,,,,,,,
,"4本一套--Color,Opposites,Number,Shapes(红色条码)",179,180,5.79223E+12,16,,


2元翻翻书------------------,,,365（356）,,,,
,Bye-Bye Diaper（红色）,129,,9.78158E+12,2,,差9本
,Bye-Bye Pacitier（兰色）,154,,9.78158E+12,2,,
,Bye-Bye Bottle（黄色）,73,,9.78158E+12,2,,

4元翻翻书--------------------,,,195（190）,,,,
,Fun with Words,25,,9.78174E+12,4,,
,Fun with Animals,11,,9.78174E+12,4,,
,Fun with Letters,29,,9.78174E+12,4,,
,Learning my numbers,65,坏4本,9.78174E+12,4,,差5本
,Learning My Shapes,19,,9.78174E+12,4,,
,Learning My Animals,41,,9.78174E+12,4,,

大地板书----------------------------,,,99,,
,地板书-The Itsy Bisty Spider,29,,9.78082E+12,9
,地板书-Hey，Diddle Diddle,31,,9.78082E+12,9
,地板书-The joycollection- Grandpa Grandpa,11,,,9
,地板书-The joycollection- Menance,7,,,9
,地板书-Camille-梵高,18,,9.78071E+12,9

,名家纸板书(第二次入库)--------,,,,
,say good Night ,55,,9.78141E+12,6
,farm yard tales ,24,,9.78144E+12,18

精装童话故事书----------------------,,,,,

,硬皮海绵包精装童话故事-------------------,,,,
,A collection of Fairy Tales for storytime(beauty and the beast),3,,9.78076E+12,25
,A collection of Fairy Tales for storytime(sleeping beauty),6,,9.78076E+12,25
,A collection of Fairy Tales for storytime(Three pigs),43,44,9.78076E+12,25

,大开精品童话故事-------------------------,,75（73）,,
,Great irish legends,67,,9.78072E+12,18
,Great Irish Heroes,6,,9.78072E+12,18
,Leprechaun Tales - 硬皮童话故事书,8,9,9.78072E+12,15
,Fairy Tale Stories-精装8个故事合订本,16,,9.78076E+12,25
,My Very Fairy Princess -硬皮精装,86,,9.78032E+12,18

,四本一套童话故事书,,175(172),,
,The adventures of Sinbad,16,,9781842392348-1,8
,The princes and the pea,14,,9781842392348-2,8
,Alice in wonderland,33,,9781842392348-3,8
,The adventures of Pinocchino,109,,9781842392348-4,8

,Inner Child故事合订本------------------------,,,,,,
,Lynnie an Inner Child-故事合订本日历装,5,9,8.27395E+11,25,,
,Lynnie an Inner Child-故事合订本卡片装,4,,8.27395E+11,25,,

特色书---------------------------,,,,,,,
,O is for Obama-硬皮美国历届人物,9,9,9.7816E+12,20,,
,Face painting-名家作品手工制作,6,6,9.78075E+12,25,,
,Nursery Rhymes ,25,26,9.78076E+12,25,,
,贴纸书-Irish legends Sticker Books,9,,,12,,
,手工书-My Giant Dress-up Doll Book（igloo),58,59,,15,,

,DK贴纸书两种---------------------,,32（31）,,,,
,DK-Ultimate stiker collection（贴纸故事书）,8,,9.78076E+12,20,DK贴纸书,
,DK-Star wars The clone wars(600 stickers)（贴纸故事书）,23,,9.78141E+12,20,DK贴纸书,加样书

,The Think Tank Boxes----------------------,,30（30）,,,,
,Think Tank YellowLevel-7-G1,7,,9.78192E+12,80
,Think Tank OringeLevel-8-G2,5,,9.78188E+12,80
,Think Tank BlueLevel-12-G6,17,,9.78188E+12,80
,Think Tank Red Level-11-G5,1,,,80

阅读书------------------------,,,,,
,Usborne Beginners - 硬皮32k阅读书--,,120-缺很多,,
,Castles,23,,9.78075E+12,8
,Reptiles,9,,9.78079E+12,8
,Spider,4,,9.78075E+12,8

,VeryFirstReading1,6,,,8
,VeryFirstReading2(The Dressing Up box),9,,,8
,VeryFirstReading3(A Bus For Miss Moss),9,3 huai,,8
,VeryFirstReading5,5,,,8
,VeryFirstReading6,3,,,8
,VeryFirstReading7,1,,,8,,
,VeryFirstReading12,12,,,8,,
,VeryFirstReading13,2,,,8,,
,VeryFirstReading14,1,,,8,,
,VeryFirstReading15（Mr Mystery),9,,,8,,
,VeryFirstReading8,1,,,8,,
,VeryFirstReading9,1,,,8,,
,VeryFirstReading10,1,,,8,,

,Upclose 小学生阅读书--------------,,815（实际783),,,,
,Dinosaur,88,68,9.78145E+12,8,,坏5本
,T*Rex,123,93,9.78145E+12,8,,
,Space,60,30,9.78145E+12,8,,
,Monster Trucks,51,21,9.78145E+12,8,,
,Giant Dinosaurs,110,81,9.78145E+12,8,,
,Pirates,102,72,9.78145E+12,8,,
,Speed Machine,129,99,9.78145E+12,8,
,Snakes,85,55,9.78145E+12,8,
,Sharks,35,5,9.78145E+12,8,
,3D等杂书,20,,,8,

,DK-All Around the farm科普阅读书,33,33,9.78076E+12,15,农场的故事


儿童原版绘本-------------,,,,,,
,绘本-Only In Dreams,100,100,9.78081E+12,15,
,绘本-Oliver who would not sleep,100,100,9.78044E+12,15,
,绘本-Do Mice eat Rice,50,,,15,
,绘本-SkippyjonJones and the Big Bones,50,,9.78053E+12,15,
,软皮绘本-Fergus joins the search,23,23,9.78098E+12,8,



,DK-My First Farm-花边纸板书,12,10,9.78076E+12,20
,DK-My First numbers-花边纸板书,30,50,9.78076E+12,20

,Spot Can Count-小波数数,2,100,9.7804E+12,15

,Tickle Tickle -绘本,100,100,9.78141E+12,6
,Ten Little Fingers and Ten little Toes,18,100,9.78141E+12,6
,All fall down,57,100,9.78141E+12,6

,Zoo!A big Fold-Out counting book,8,10,9.78079E+12,20
,Farm!A big Fold-Out Book About Colors,5,10,9.78079E+12,20


,Puppy Dogs ABC 长条狗绘本,15,,9.7816E+12,10
,I am a Truck Driver - 我是卡车司机,20,,9.78081E+12,20
,Hanukkah!硬皮精装绘本,14,,9.78032E+12,15

,Peppa Pig 黄色,147,,9.78141E+12,6
,Peppa Pig 蓝色,25,,9.78141E+12,6

,儿童成长纪念册,12,12,4.15055E+11,20
